X,Y,Z,intensity,ring,dist
0.565643,-0.707555,0.0158119,42.0,8,0.56564295291900635
0.562214,-0.703769,0.047207,37.0,9,0.5622139573097229
0.553261,-0.69281,0.0775686,53.0,10,0.5532609224319458
1.00417,-1.25835,0.197672,45.0,11,1.004170298576355
0.666951,-0.836672,0.207982,0.0,13,0.6669507622718811
0.681157,-0.855106,0.252395,0.0,14,0.68115717172622681
0.51944,-0.652324,-0.0145553,7.0,7,0.51943987607955933
0.70263,-0.882694,0.302301,1.0,15,0.70263010263442993
0.560683,-0.706393,0.0157421,45.0,8,0.56068331003189087
0.559754,-0.705727,0.047207,24.0,9,0.5597538948059082
0.553315,-0.697859,0.0779172,35.0,10,0.55331486463546753
0.991142,-1.25096,0.195966,54.0,11,0.99114233255386353
0.656716,-0.829759,0.205692,0.0,13,0.65671586990356445
0.666079,-0.842193,0.247896,0.0,14,0.66607946157455444
0.509718,-0.644721,-0.0143459,5.0,7,0.50971841812133789
0.675588,-0.854829,0.291948,1.0,15,0.67558753490447998
0.56564,-0.717769,0.0159515,40.0,8,0.56564044952392578
0.564826,-0.716993,0.0478351,20.0,9,0.56482613086700439
0.545946,-0.693524,0.07722,21.0,10,0.54594600200653076
1.01009,-1.28405,0.200597,76.0,11,1.0100889205932617
0.653816,-0.832046,0.205692,0.0,13,0.65381550788879395
0.651101,-0.829186,0.243397,0.0,14,0.6511005163192749
0.500168,-0.636971,-0.0141364,4.0,7,0.50016778707504272
0.651278,-0.829711,0.28263,1.0,15,0.65127843618392944
0.562025,-0.718066,0.0159166,24.0,8,0.56202471256256104
0.558629,-0.714241,0.0475211,16.0,9,0.55862855911254883
0.538614,-0.689147,0.0765227,17.0,10,0.53861421346664429
1.01927,-1.3046,0.203278,71.0,11,1.0192688703536987
0.651053,-0.834209,0.205692,0.0,13,0.65105271339416504
0.650744,-0.834414,0.244297,0.0,14,0.65074419975280762
0.484417,-0.621366,-0.0137525,2.0,7,0.48441702127456665
0.648378,-0.831979,0.28263,1.0,15,0.64837819337844849
0.543564,-0.699497,0.0154628,22.0,8,0.5435636043548584
0.553682,-0.713031,0.0473117,12.0,9,0.55368208885192871
0.548543,-0.706668,0.0782659,15.0,10,0.54854285717010498
1.02323,-1.31913,0.204984,70.0,11,1.0232255458831787
0.643327,-0.830269,0.204166,0.0,13,0.64332687854766846
0.650214,-0.839763,0.245197,0.0,14,0.65021353960037231
0.52386,-0.676819,-0.0149393,1.0,7,0.52386015653610229
0.654928,-0.846461,0.286772,1.0,15,0.65492755174636841
0.564327,-0.731472,0.016126,12.0,8,0.56432682275772095
0.548751,-0.711796,0.0471024,13.0,9,0.54875087738037109
0.539992,-0.700688,0.0773943,22.0,10,0.53999185562133789
1.02588,-1.33213,0.206447,45.0,11,1.0258817672729492
0.645213,-0.838734,0.205692,0.0,13,0.64521300792694092
0.637777,-0.829667,0.241597,0.0,14,0.63777703046798706
0.54099,-0.704013,-0.0154977,1.0,7,0.54098951816558838
0.640201,-0.833422,0.281595,1.0,15,0.64020055532455444
0.571498,-0.746138,0.0164053,10.0,8,0.57149773836135864
